employeenumber;department;jobrole;age;monthlyincome;yearsatcompany;overtime;jobsatisfaction;worklifebalance;flag_turnover;prob_turnover;classificacao_risco_modelo
261;Research & Development;Manufacturing Director;35;5916;1;Yes;3;3;1;0.6947753832465144;Alto risco
1734;Sales;Sales Executive;32;6735;0;No;2;3;1;0.6922379227550101;Alto risco
1716;Sales;Sales Executive;47;12936;23;No;3;1;1;0.6875635677141394;Alto risco
1188;Sales;Sales Executive;43;5346;4;No;3;2;1;0.6854096100281601;Alto risco
593;Research & Development;Laboratory Technician;22;3894;2;No;3;3;1;0.6828210392866773;Alto risco
816;Research & Development;Laboratory Technician;29;2319;1;Yes;1;3;1;0.6817208632819851;Alto risco
1016;Research & Development;Research Scientist;20;2600;1;Yes;1;3;1;0.6799132305960524;Alto risco
608;Human Resources;Human Resources;26;2741;7;Yes;3;2;1;0.6781409617679836;Alto risco
932;Research & Development;Laboratory Technician;39;2404;2;Yes;1;1;1;0.6769219870605401;Alto risco
248;Sales;Sales Representative;41;3140;4;Yes;2;2;1;0.6713143463552725;Alto risco
648;Sales;Sales Representative;30;2033;1;No;1;4;1;0.6684749425233275;Alto risco
1004;Research & Development;Research Scientist;30;2132;5;Yes;3;3;1;0.6645729776491167;Alto risco
970;Sales;Sales Executive;37;10609;14;No;3;1;1;0.6629490727422943;Alto risco
1079;Research & Development;Laboratory Technician;21;1416;1;No;1;2;1;0.6614898213749818;Alto risco
1684;Research & Development;Laboratory Technician;23;3989;5;Yes;3;3;1;0.657430492295611;Alto risco
2010;Research & Development;Laboratory Technician;32;2837;6;No;2;3;0;0.6503730054627461;Alto risco
390;Research & Development;Healthcare Representative;26;4741;5;Yes;1;3;0;0.649582416107071;Alto risco
1489;Sales;Sales Executive;34;4599;15;Yes;2;4;1;0.6437415751235152;Alto risco
1961;Sales;Sales Representative;38;2858;1;No;1;2;0;0.6435758876208907;Alto risco
832;Research & Development;Laboratory Technician;40;5094;1;No;3;3;0;0.6412423096278267;Alto risco
401;Sales;Sales Executive;26;5828;8;Yes;4;3;1;0.6373426798783187;Alto risco
502;Sales;Sales Executive;34;5304;5;Yes;4;2;1;0.6357447407309317;Alto risco
796;Sales;Sales Executive;26;5326;4;No;1;2;1;0.6354767053324233;Alto risco
1296;Research & Development;Laboratory Technician;28;3867;2;Yes;4;3;0;0.6334694087666971;Alto risco
1939;Research & Development;Research Scientist;32;2432;4;Yes;3;3;1;0.6334179648904661;Alto risco
1569;Research & Development;Laboratory Technician;35;2074;1;Yes;1;3;1;0.6299007805611481;Alto risco
792;Research & Development;Laboratory Technician;26;4364;2;No;4;3;0;0.6267756401053326;Alto risco
1646;Research & Development;Research Scientist;24;3760;6;Yes;4;3;0;0.6247125762749269;Alto risco
424;Human Resources;Human Resources;31;6410;2;No;1;3;0;0.622765253243781;Alto risco
1286;Research & Development;Laboratory Technician;28;2154;4;Yes;3;2;0;0.6209957047878198;Alto risco
741;Research & Development;Research Scientist;28;2216;7;Yes;2;3;1;0.6190285510549446;Alto risco
142;Sales;Sales Executive;25;5744;6;Yes;3;3;1;0.6172809698040022;Alto risco
1533;Research & Development;Laboratory Technician;23;2272;4;No;3;3;0;0.617011300078171;Alto risco
819;Sales;Sales Executive;33;5324;3;No;1;3;1;0.6164738758180077;Alto risco
994;Research & Development;Research Scientist;29;2404;0;Yes;1;3;1;0.6160615631722178;Alto risco
785;Sales;Sales Executive;47;6397;5;Yes;3;3;1;0.6099184372331462;Alto risco
331;Research & Development;Laboratory Technician;32;3730;3;Yes;3;1;1;0.6079416063608005;Alto risco
355;Research & Development;Laboratory Technician;31;3479;5;No;2;4;1;0.6067121095429574;Alto risco
1148;Research & Development;Laboratory Technician;42;4272;1;No;4;3;0;0.606501413419188;Alto risco
846;Sales;Sales Executive;28;4779;8;Yes;2;3;0;0.6026325846815389;Alto risco
669;Sales;Sales Representative;21;3447;3;No;3;3;0;0.6008124400025648;Alto risco
47;Sales;Sales Representative;50;2683;3;Yes;3;3;1;0.5949131459714051;Médio risco
1878;Research & Development;Research Scientist;22;2472;1;Yes;2;3;1;0.5931720373066324;Médio risco
1001;Research & Development;Laboratory Technician;27;2811;2;No;2;3;0;0.5904371095549665;Médio risco
1594;Research & Development;Laboratory Technician;36;5562;3;Yes;1;3;0;0.5883975324532275;Médio risco
1380;Sales;Sales Executive;35;4614;4;Yes;3;2;1;0.5809067021447081;Médio risco
243;Research & Development;Laboratory Technician;19;1102;1;No;4;2;1;0.5767608025427013;Médio risco
1611;Research & Development;Laboratory Technician;45;5769;10;Yes;1;3;0;0.5723469204956783;Médio risco
1458;Research & Development;Laboratory Technician;39;3646;1;Yes;1;4;1;0.571118553872318;Médio risco
394;Research & Development;Laboratory Technician;26;2373;3;Yes;2;3;1;0.5686647665039132;Médio risco
75;Research & Development;Laboratory Technician;35;4014;2;Yes;1;3;0;0.5536026025399264;Médio risco
1173;Research & Development;Laboratory Technician;24;3597;4;No;2;3;0;0.5521554796688631;Médio risco
1379;Sales;Sales Representative;31;2785;1;No;4;4;1;0.5499084805232234;Médio risco
411;Sales;Sales Representative;18;1200;0;No;3;3;0;0.5467757491455644;Médio risco
2055;Sales;Sales Executive;50;10854;3;Yes;1;3;1;0.5462260817539102;Médio risco
1522;Research & Development;Research Scientist;29;2362;9;No;1;1;1;0.5443786312643247;Médio risco
440;Research & Development;Research Scientist;28;3464;3;Yes;4;2;1;0.5443023672364891;Médio risco
1680;Sales;Sales Representative;20;2728;2;No;1;3;0;0.5432336128620262;Médio risco
454;Research & Development;Laboratory Technician;29;2119;7;Yes;1;2;1;0.5400382164097148;Médio risco
392;Research & Development;Laboratory Technician;44;3161;1;Yes;3;1;1;0.5368655560579062;Médio risco
282;Research & Development;Healthcare Representative;38;6673;1;Yes;1;3;1;0.5365480448759374;Médio risco
1248;Research & Development;Research Scientist;19;1859;1;Yes;2;4;1;0.5345965261714667;Médio risco
881;Research & Development;Research Scientist;35;2022;10;Yes;2;2;1;0.5329419242576826;Médio risco
1747;Human Resources;Human Resources;30;2180;4;No;4;2;1;0.5328767385125917;Médio risco
527;Sales;Sales Executive;25;4487;5;Yes;4;3;0;0.5264982600655566;Médio risco
1299;Research & Development;Laboratory Technician;29;3339;7;Yes;3;3;1;0.5238126309235129;Médio risco
918;Research & Development;Laboratory Technician;58;2380;1;Yes;4;2;1;0.5219575024785519;Médio risco
27;Sales;Sales Representative;36;3407;5;No;1;3;1;0.5206387483868634;Médio risco
1158;Research & Development;Laboratory Technician;41;4766;1;Yes;4;3;0;0.5167403061421436;Médio risco
1036;Sales;Sales Executive;38;6861;1;Yes;4;3;0;0.5132672484088211;Médio risco
991;Research & Development;Research Scientist;31;2321;3;Yes;1;3;1;0.5099964328618373;Médio risco
364;Research & Development;Laboratory Technician;28;3485;0;No;3;1;1;0.5089360556678065;Médio risco
1933;Sales;Sales Executive;28;9854;2;Yes;3;3;1;0.5059199736504593;Médio risco
1111;Research & Development;Laboratory Technician;28;2596;1;No;2;3;1;0.5038194329250952;Médio risco
1714;Human Resources;Human Resources;24;1555;1;No;3;3;1;0.5031157086777314;Médio risco
1642;Human Resources;Human Resources;44;5743;10;Yes;4;3;0;0.5016523214312193;Médio risco
1967;Sales;Sales Executive;31;5617;10;Yes;4;3;1;0.49855492058306894;Médio risco
133;Human Resources;Human Resources;37;2073;3;Yes;1;3;1;0.4975695348913623;Médio risco
647;Research & Development;Laboratory Technician;24;2886;6;Yes;3;3;1;0.4930775201276623;Médio risco
1650;Sales;Sales Executive;29;5869;5;No;3;3;0;0.4903569975389009;Médio risco
1017;Research & Development;Laboratory Technician;30;2422;3;No;2;3;1;0.4887883674639884;Médio risco
1733;Sales;Sales Executive;36;6134;2;Yes;1;3;1;0.48696541871989024;Médio risco
1269;Research & Development;Research Scientist;19;2994;1;Yes;4;3;0;0.48656019294061903;Médio risco
4;Research & Development;Laboratory Technician;37;2090;0;Yes;3;3;1;0.4838963768576294;Médio risco
783;Sales;Sales Representative;45;6632;8;No;3;3;0;0.4829803765118803;Médio risco
1556;Sales;Sales Representative;36;2644;3;Yes;4;2;0;0.47474498885969685;Médio risco
1604;Research & Development;Laboratory Technician;28;2408;1;Yes;2;3;1;0.47419583659106795;Médio risco
1702;Sales;Sales Representative;23;2275;3;Yes;4;3;1;0.47161372710823785;Médio risco
1905;Research & Development;Research Scientist;34;2307;5;Yes;1;3;1;0.4676805049430445;Médio risco
475;Sales;Sales Executive;30;4736;2;Yes;3;4;0;0.4664976458915481;Médio risco
1669;Sales;Sales Executive;29;4187;10;Yes;2;2;0;0.4638817037349394;Médio risco
1010;Research & Development;Laboratory Technician;35;3743;4;Yes;2;1;1;0.46264963548347426;Médio risco
1496;Research & Development;Manufacturing Director;44;10209;2;Yes;3;2;0;0.460322649733126;Médio risco
566;Human Resources;Human Resources;19;2564;1;No;4;4;1;0.45724099778477323;Médio risco
436;Sales;Sales Executive;32;5228;13;Yes;2;3;0;0.4559533716198268;Médio risco
1100;Sales;Sales Executive;35;9582;8;Yes;1;3;1;0.45587868084178895;Médio risco
274;Research & Development;Manufacturing Director;27;4298;2;No;1;3;0;0.45281702436481364;Médio risco
1797;Sales;Sales Executive;35;5813;10;Yes;4;3;1;0.4518604130394103;Médio risco
467;Sales;Sales Representative;47;2976;0;No;3;3;0;0.44790106514632483;Médio risco
1960;Research & Development;Laboratory Technician;28;2367;4;No;4;2;1;0.44588065572734265;Médio risco
732;Sales;Sales Executive;60;5405;2;No;1;3;0;0.4452478058202905;Médio risco
325;Research & Development;Laboratory Technician;33;2436;5;Yes;4;1;1;0.44280840701388563;Médio risco
896;Sales;Sales Representative;29;2800;3;Yes;3;3;1;0.44226405086839166;Médio risco
494;Sales;Sales Representative;21;2716;1;No;2;3;1;0.43737690019448316;Médio risco
2053;Research & Development;Laboratory Technician;29;4025;4;Yes;2;3;0;0.4359542139229353;Médio risco
1307;Research & Development;Manager;39;17123;19;Yes;2;3;0;0.4349037436217169;Médio risco
1783;Research & Development;Laboratory Technician;22;2398;1;Yes;1;3;1;0.4321872096073323;Médio risco
1801;Sales;Sales Executive;46;7991;2;No;2;3;0;0.4317601024467086;Médio risco
1281;Sales;Sales Executive;34;4538;3;Yes;1;3;0;0.4302842325900091;Médio risco
190;Research & Development;Laboratory Technician;32;4200;5;No;1;4;1;0.42734763048846447;Médio risco
113;Sales;Sales Representative;23;2322;0;No;1;3;0;0.42630131843549257;Médio risco
927;Research & Development;Laboratory Technician;41;2778;7;Yes;4;2;1;0.4259208646706425;Médio risco
51;Research & Development;Research Scientist;36;3419;1;Yes;1;4;0;0.42237265738545454;Médio risco
1975;Sales;Sales Executive;39;13341;20;No;1;3;0;0.4218403391278324;Médio risco
315;Research & Development;Research Scientist;29;2389;4;Yes;4;2;1;0.4198422037721682;Médio risco
939;Research & Development;Research Scientist;33;2799;3;Yes;1;3;0;0.4178184989175852;Médio risco
1107;Research & Development;Laboratory Technician;26;2377;1;No;3;2;1;0.4159845744700016;Médio risco
7;Research & Development;Laboratory Technician;27;3468;2;No;2;3;0;0.4133706729902419;Médio risco
1551;Research & Development;Laboratory Technician;24;2296;1;No;1;3;0;0.4133602084509589;Médio risco
434;Research & Development;Research Scientist;27;2478;4;Yes;2;2;0;0.41156677242716994;Médio risco
1916;Research & Development;Laboratory Technician;31;3978;2;No;3;2;0;0.41015898439890464;Médio risco
577;Research & Development;Laboratory Technician;35;4230;5;No;3;3;0;0.4100459351640583;Médio risco
913;Research & Development;Research Scientist;44;2559;8;Yes;1;3;0;0.40675305219946795;Médio risco
1350;Research & Development;Research Scientist;35;4249;9;Yes;3;3;0;0.4039018372465685;Médio risco
492;Sales;Sales Executive;40;6380;6;Yes;3;3;1;0.40049914451403357;Médio risco
1372;Sales;Sales Executive;55;13695;19;Yes;3;2;1;0.39976390196338857;Médio risco
811;Research & Development;Laboratory Technician;23;1601;0;Yes;1;3;1;0.39847171991451186;Médio risco
854;Research & Development;Research Scientist;25;3424;4;No;1;2;0;0.3930018853666805;Médio risco
405;Research & Development;Laboratory Technician;18;1420;0;No;3;3;1;0.390296724347728;Médio risco
925;Sales;Sales Representative;47;3294;3;Yes;4;2;0;0.3897985941519027;Médio risco
1893;Research & Development;Research Scientist;26;2933;1;Yes;3;2;0;0.38554803219847916;Médio risco
1876;Sales;Sales Representative;30;1081;1;No;4;2;1;0.3841791957185685;Médio risco
2003;Research & Development;Laboratory Technician;35;2660;2;Yes;3;3;0;0.38336038864443883;Médio risco
382;Sales;Sales Executive;38;5605;8;Yes;1;3;0;0.3806536921618518;Médio risco
1850;Research & Development;Laboratory Technician;27;2379;5;Yes;4;2;0;0.38004890485022663;Médio risco
1735;Research & Development;Laboratory Technician;23;3295;3;No;2;1;0;0.37923468362420054;Médio risco
183;Sales;Sales Executive;25;8639;2;No;3;3;0;0.378944296160894;Médio risco
1377;Research & Development;Laboratory Technician;34;5429;8;No;3;3;0;0.37844033771440677;Médio risco
803;Research & Development;Manufacturing Director;38;5980;15;Yes;1;3;0;0.37750106877832773;Médio risco
1549;Research & Development;Laboratory Technician;33;5207;15;Yes;3;3;0;0.3774042048535658;Médio risco
1371;Sales;Sales Executive;27;5071;6;No;4;3;0;0.374191118405825;Médio risco
723;Sales;Sales Executive;50;6796;4;Yes;3;3;1;0.37398385821895397;Médio risco
269;Research & Development;Laboratory Technician;35;4425;6;No;2;3;0;0.3724544774860483;Médio risco
587;Research & Development;Healthcare Representative;31;9824;1;No;3;3;1;0.36467298296049055;Médio risco
1605;Research & Development;Research Scientist;22;2814;4;Yes;3;2;0;0.36410099140717145;Médio risco
1835;Sales;Sales Representative;38;5405;4;Yes;4;2;0;0.3622057045401072;Médio risco
1720;Research & Development;Research Scientist;32;3433;5;No;3;2;0;0.35975351132143774;Médio risco
773;Research & Development;Research Scientist;38;3057;1;Yes;3;1;0;0.35959468561995755;Médio risco
1704;Research & Development;Research Scientist;35;4930;5;Yes;4;4;0;0.35923756736046447;Médio risco
954;Sales;Sales Executive;40;9705;1;No;2;2;0;0.3590199203854381;Médio risco
1052;Research & Development;Laboratory Technician;36;4834;1;No;3;2;1;0.3582377204061692;Médio risco
508;Sales;Sales Representative;30;2476;1;No;2;3;0;0.35797295289916276;Médio risco
1202;Research & Development;Research Scientist;29;2168;5;Yes;4;2;0;0.3551672008703185;Médio risco
652;Research & Development;Laboratory Technician;35;3681;3;No;4;3;0;0.35419849983992974;Médio risco
1421;Research & Development;Healthcare Representative;29;7553;8;Yes;4;3;1;0.35398075767862686;Médio risco
493;Research & Development;Research Scientist;31;2657;2;Yes;2;3;0;0.35301860876140556;Médio risco
45;Research & Development;Research Scientist;24;2293;2;Yes;4;2;1;0.3490926689720036;Médio risco
1539;Research & Development;Research Director;50;14411;32;Yes;4;3;0;0.3489982361913779;Médio risco
1853;Sales;Sales Executive;32;4648;0;No;4;4;0;0.348120928595082;Médio risco
363;Sales;Manager;46;16872;7;Yes;2;2;0;0.34613901453135515;Médio risco
1226;Sales;Sales Representative;20;2678;2;No;4;3;0;0.3455188544658575;Médio risco
585;Sales;Sales Representative;30;2983;3;No;2;3;0;0.3437743169270393;Médio risco
618;Sales;Sales Executive;26;4306;0;No;3;3;0;0.34241428016654935;Médio risco
2040;Human Resources;Human Resources;35;8837;9;Yes;4;3;0;0.3403680173883879;Médio risco
1033;Research & Development;Healthcare Representative;37;4777;1;No;2;1;1;0.33992979115524924;Médio risco
1239;Sales;Sales Executive;40;6852;5;No;2;4;0;0.33788079997114434;Médio risco
120;Sales;Sales Executive;51;5441;10;Yes;4;1;0;0.3375598352567083;Médio risco
446;Sales;Sales Executive;33;4682;7;No;4;2;0;0.3372362989167636;Médio risco
1405;Research & Development;Research Scientist;27;2394;8;Yes;3;3;1;0.3364595242458248;Médio risco
68;Sales;Sales Executive;44;5454;4;Yes;1;2;0;0.33590575223056107;Médio risco
875;Research & Development;Research Scientist;42;2515;2;Yes;4;3;0;0.3348779191993737;Médio risco
238;Research & Development;Laboratory Technician;36;2088;8;No;2;2;0;0.33376643332761846;Médio risco
941;Sales;Sales Representative;31;2329;7;No;3;4;0;0.33326492371660427;Médio risco
1219;Research & Development;Laboratory Technician;24;2210;1;No;2;1;1;0.331894140600074;Médio risco
1425;Sales;Sales Executive;36;9278;5;Yes;2;3;0;0.3295555672536473;Médio risco
1083;Research & Development;Laboratory Technician;26;3955;5;No;1;3;0;0.329067051639536;Médio risco
584;Research & Development;Laboratory Technician;33;3408;4;No;4;3;1;0.3264161598189834;Médio risco
1396;Sales;Sales Executive;32;4078;3;Yes;2;2;0;0.32425598416565865;Médio risco
1387;Sales;Sales Executive;28;4724;5;No;1;3;0;0.32217523115953994;Médio risco
922;Sales;Sales Representative;20;2044;2;No;3;2;1;0.32206776832626977;Médio risco
1415;Research & Development;Laboratory Technician;25;3229;3;No;4;2;0;0.3220617309046935;Médio risco
1180;Research & Development;Research Scientist;40;4422;1;Yes;4;1;0;0.32205715074445596;Médio risco
1403;Sales;Sales Executive;27;5769;6;Yes;4;3;0;0.3201269616573509;Médio risco
79;Research & Development;Laboratory Technician;38;2406;10;No;4;3;0;0.3188986954294518;Médio risco
1275;Research & Development;Research Scientist;26;2875;8;Yes;4;2;0;0.31819774114145366;Médio risco
1675;Research & Development;Laboratory Technician;38;2440;4;No;2;3;0;0.3171715282378079;Médio risco
1614;Research & Development;Manufacturing Director;36;4663;3;Yes;3;3;0;0.31679895765385996;Médio risco
525;Research & Development;Laboratory Technician;43;2258;3;No;4;3;0;0.31653244334845243;Médio risco
90;Research & Development;Research Scientist;36;3388;1;Yes;3;2;1;0.3159159698783633;Médio risco
565;Research & Development;Research Scientist;29;2546;2;No;2;4;1;0.3131639678221077;Médio risco
362;Research & Development;Laboratory Technician;32;2176;6;No;1;3;0;0.3115115843749503;Médio risco
964;Research & Development;Research Scientist;40;3617;1;Yes;2;3;0;0.3111044870134292;Médio risco
1998;Research & Development;Research Scientist;42;5410;4;Yes;1;2;0;0.3102967287016413;Médio risco
488;Sales;Sales Executive;41;9355;8;No;2;3;1;0.30809836065259216;Médio risco
1175;Research & Development;Laboratory Technician;28;2515;1;Yes;4;2;1;0.30786923668179933;Médio risco
2013;Sales;Sales Representative;32;2269;2;No;2;3;0;0.3060368525203852;Médio risco
1674;Research & Development;Laboratory Technician;49;2587;2;Yes;1;2;0;0.30558852835512607;Médio risco
396;Research & Development;Research Director;49;18665;3;Yes;1;3;0;0.3047019793109672;Médio risco
752;Research & Development;Research Scientist;42;2759;2;Yes;3;3;1;0.3041364457102475;Médio risco
1244;Research & Development;Research Scientist;27;2235;9;Yes;1;2;0;0.3022694935740103;Médio risco
359;Research & Development;Laboratory Technician;32;2794;5;No;2;1;0;0.3018926961797235;Médio risco
1534;Research & Development;Laboratory Technician;40;2018;5;No;1;1;1;0.30123447166448764;Médio risco
286;Research & Development;Laboratory Technician;36;2153;8;No;4;3;0;0.30014669092864305;Médio risco
1066;Sales;Sales Executive;40;8396;7;No;1;2;0;0.29821613899526506;Baixo risco
1154;Research & Development;Research Scientist;28;2703;3;Yes;3;3;0;0.29679055023633044;Baixo risco
233;Research & Development;Research Scientist;27;3058;5;Yes;2;2;0;0.2959527878463766;Baixo risco
555;Sales;Sales Representative;34;2351;2;No;3;2;1;0.295720469337629;Baixo risco
1131;Research & Development;Research Scientist;21;2070;2;Yes;2;4;0;0.2923737593087296;Baixo risco
1203;Research & Development;Research Scientist;22;2853;0;Yes;4;3;1;0.2917269676182161;Baixo risco
484;Sales;Sales Representative;21;2610;3;No;4;2;0;0.2900188680210086;Baixo risco
1282;Sales;Manager;51;19847;29;Yes;2;2;0;0.28902639168452676;Baixo risco
297;Research & Development;Research Scientist;30;2657;5;Yes;1;3;1;0.2876318144185656;Baixo risco
1486;Sales;Sales Representative;28;2909;3;No;3;4;1;0.28649159948610686;Baixo risco
1481;Sales;Sales Executive;44;4768;1;No;3;2;0;0.28615319457505306;Baixo risco
1883;Research & Development;Laboratory Technician;29;2062;3;No;1;3;0;0.2861052726977954;Baixo risco
885;Sales;Sales Executive;25;4256;5;No;1;4;0;0.28399037960350243;Baixo risco
161;Research & Development;Research Scientist;56;4963;5;Yes;2;3;1;0.2837308537469039;Baixo risco
62;Sales;Sales Executive;46;5772;9;Yes;4;3;0;0.2833991552849452;Baixo risco
1297;Research & Development;Laboratory Technician;51;2838;7;No;3;2;0;0.28108137880567535;Baixo risco
1419;Human Resources;Human Resources;29;7988;10;No;1;2;0;0.280332308899328;Baixo risco
205;Sales;Sales Representative;53;2306;7;Yes;3;1;0;0.2795284667053507;Baixo risco
983;Sales;Sales Executive;38;5666;5;Yes;4;3;0;0.27783442041103207;Baixo risco
376;Research & Development;Manager;47;11849;10;Yes;2;2;1;0.27747314163334985;Baixo risco
1234;Research & Development;Laboratory Technician;32;2743;2;No;2;3;0;0.27679191200203535;Baixo risco
1568;Sales;Sales Executive;30;9250;4;No;2;3;0;0.2754768588608772;Baixo risco
904;Sales;Sales Executive;37;7642;10;Yes;2;3;0;0.27518434174480405;Baixo risco
833;Research & Development;Manufacturing Director;30;6877;0;Yes;4;2;0;0.274517019060829;Baixo risco
1277;Sales;Manager;45;18824;24;Yes;2;3;1;0.2738011683108317;Baixo risco
281;Research & Development;Laboratory Technician;40;2741;7;Yes;4;4;0;0.27325465259490006;Baixo risco
650;Sales;Sales Executive;31;4233;3;No;1;1;1;0.2728443050856007;Baixo risco
1667;Sales;Sales Executive;35;4581;11;Yes;4;4;1;0.2726035622663768;Baixo risco
2054;Research & Development;Research Scientist;29;3785;5;No;1;1;0;0.2723236517668963;Baixo risco
1210;Research & Development;Research Scientist;41;2107;1;No;1;1;1;0.2722464666877978;Baixo risco
1586;Research & Development;Laboratory Technician;29;4723;10;Yes;1;3;0;0.27220658731513037;Baixo risco
1242;Research & Development;Research Director;42;13191;1;Yes;1;3;0;0.2719293928295159;Baixo risco
